3465,That's Life! (1986),Drama
3466,Heart and Souls (1993),Comedy|Fantasy
3467,Hud (1963),Drama|Western
3468,"Hustler, The (1961)",Drama
3469,Inherit the Wind (1960),Drama
3470,Dersu Uzala (1975),Adventure|Drama
3471,Close Encounters of the Third Kind (1977),Adventure|Drama|Sci-Fi
3474,Retroactive (1997),Sci-Fi|Thriller
3475,"Place in the Sun, A (1951)",Drama|Romance
3476,Jacob's Ladder (1990),Horror|Mystery
3477,Empire Records (1995),Comedy|Drama
3478,"Bamba, La (1987)",Drama
3479,Ladyhawke (1985),Adventure|Fantasy|Romance
3480,Lucas (1986),Drama|Romance
3481,High Fidelity (2000),Comedy|Drama|Romance
3483,"Road to El Dorado, The (2000)",Animation|Children
3484,"Skulls, The (2000)",Thriller
3487,El Dorado (1966),Western
3489,Hook (1991),Adventure|Comedy|Fantasy
3490,Horror Express (1972),Horror
3491,My Chauffeur (1986),Comedy
3492,"Son of the Sheik, The (1926)",Adventure|Comedy|Romance
3494,True Grit (1969),Adventure|Drama|Western
3495,Roadside Prophets (1992),Comedy|Drama
3496,Madame Sousatzka (1988),Drama
3497,Max Dugan Returns (1983),Comedy
3498,Midnight Express (1978),Drama
3499,Misery (1990),Drama|Horror|Thriller
3500,Mr. Saturday Night (1992),Comedy|Drama
3501,Murphy's Romance (1985),Comedy|Romance
3502,My Life (1993),Drama
3503,Solaris (Solyaris) (1972),Drama|Mystery|Sci-Fi
3504,Network (1976),Comedy|Drama
3505,No Way Out (1987),Drama|Mystery|Thriller
3506,North Dallas Forty (1979),Comedy|Drama
3507,"Odd Couple, The (1968)",Comedy
3508,"Outlaw Josey Wales, The (1976)",Action|Adventure|Drama|Thriller|Western
3509,Black and White (1999),Drama
3510,Frequency (2000),Drama|Thriller
3511,Ready to Rumble (2000),Comedy
3512,Return to Me (2000),Drama|Romance
3513,Rules of Engagement (2000),Drama|Thriller
3515,Me Myself I (2000),Comedy|Romance
3516,"Bell, Book and Candle (1958)",Comedy|Fantasy|Romance
3518,"End of Violence, The (1997)",Drama|Thriller
3519,Force 10 from Navarone (1978),Action|Drama|War
3520,How to Stuff a Wild Bikini (1965),Comedy
3521,Mystery Train (1989),Comedy|Drama
3522,Sacco and Vanzetti (Sacco e Vanzetti) (1971),Drama
3524,Arthur (1981),Comedy|Romance
3525,Bachelor Party (1984),Comedy
3526,Parenthood (1989),Comedy|Drama
3527,Predator (1987),Action|Sci-Fi|Thriller
3528,"Prince of Tides, The (1991)",Drama|Romance
3529,"Postman Always Rings Twice, The (1981)",Crime|Thriller
3531,All the Vermeers in New York (1990),Comedy|Drama|Romance
3534,28 Days (2000),Drama
3535,American Psycho (2000),Crime|Horror|Mystery|Thriller
3536,Keeping the Faith (2000),Comedy|Drama|Romance
3537,Where the Money Is (2000),Comedy|Drama
3538,East is East (1999),Comedy
3539,"Filth and the Fury, The (2000)",Documentary
3540,Passion of Mind (2000),Drama|Mystery|Romance
3543,Diner (1982),Comedy|Drama
3544,Shakes the Clown (1992),Comedy
3545,Cabaret (1972),Drama|Musical
3546,What Ever Happened to Baby Jane? (1962),Drama|Horror|Thriller
3547,Prick Up Your Ears (1987),Comedy|Drama
3548,Auntie Mame (1958),Comedy|Drama
3549,Guys and Dolls (1955),Comedy|Musical|Romance
3550,The Hunger (1983),Horror
3551,Marathon Man (1976),Crime|Drama|Thriller
3552,Caddyshack (1980),Comedy
3553,Gossip (2000),Drama|Thriller
3554,Love and Basketball (2000),Drama|Romance
3555,U-571 (2000),Action|Thriller|War
3556,"Virgin Suicides, The (1999)",Drama|Romance
3557,Jennifer 8 (1992),Mystery|Thriller
3559,Limelight (1952),Comedy|Drama|Romance
3560,Empire of Passion (a.k.a. In the Realm of Passion) (a.k.a. Phantom Love) (Ai No Borei) (1978),Crime|Drama|Romance
3563,"Crow: Salvation, The (2000)",Action|Horror
3564,"Flintstones in Viva Rock Vegas, The (2000)",Children|Comedy
3565,Where the Heart Is (2000),Comedy|Drama
3566,"Big Kahuna, The (2000)",Comedy|Drama
3567,Bossa Nova (2000),Comedy|Drama|Romance
3568,Smiling Fish and Goat on Fire (1999),Comedy|Romance
3569,"Idiots, The (Idioterne) (1998)",Comedy|Drama
3571,Time Code (2000),Comedy|Drama
3572,Carnosaur (1993),Horror|Sci-Fi
3573,Carnosaur 2 (1995),Horror|Sci-Fi
3574,Carnosaur 3: Primal Species (1996),Horror|Sci-Fi
3575,Defying Gravity (1997),Drama
3576,"Hidden, The (1987)",Action|Horror|Sci-Fi
3577,Two Moon Junction (1988),Drama|Romance
3578,Gladiator (2000),Action|Adventure|Drama
3579,I Dreamed of Africa (2000),Drama
3580,Up at the Villa (2000),Drama
3581,Human Traffic (1999),Comedy
3584,Breathless (1983),Action|Drama|Romance|Thriller
3587,Inferno (1980),Horror
3588,"King of Marvin Gardens, The (1972)",Crime|Drama
3590,"Lords of Flatbush, The (1974)",Comedy|Drama
3591,Mr. Mom (1983),Comedy|Drama
3593,Battlefield Earth (2000),Action|Sci-Fi
3594,Center Stage (2000),Drama|Musical
3596,Screwed (2000),Comedy
3598,Hamlet (2000),Crime|Drama|Romance|Thriller
3599,Anchors Aweigh (1945),Comedy|Musical
3600,Blue Hawaii (1961),Comedy|Musical
3602,G.I. Blues (1960),Comedy|Musical|Romance
3604,Gypsy (1962),Musical
3605,King Creole (1958),Crime|Drama|Musical
3606,On the Town (1949),Comedy|Musical|Romance
3608,Pee-wee's Big Adventure (1985),Adventure|Comedy
3609,Regret to Inform (1998),Documentary
3611,Saludos Amigos (1943),Animation|Children|Comedy
3612,The Slipper and the Rose: The Story of Cinderella (1976),Adventure|Children|Fantasy|Musical|Romance
3613,Things Change (1988),Comedy
3614,Honeymoon in Vegas (1992),Comedy|Romance
3615,Dinosaur (2000),Adventure|Animation|Children
3616,Loser (2000),Comedy|Romance
3617,Road Trip (2000),Comedy
3618,Small Time Crooks (2000),Comedy|Crime
3619,"Hollywood Knights, The (1980)",Comedy
3620,"Myth of Fingerprints, The (1997)",Comedy|Drama
3621,Possession (1981),Drama|Horror
3622,"Twelve Chairs, The (1970)",Comedy
3623,Mission: Impossible II (2000),Action|Adventure|Thriller
3624,Shanghai Noon (2000),Action|Adventure|Comedy|Western
3626,8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999),Comedy
3627,Carnival of Souls (1962),Horror|Thriller
3628,Flying Tigers (1942),Action|Drama|Romance|War
3629,"Gold Rush, The (1925)",Adventure|Comedy|Romance
3632,Monsieur Verdoux (1947),comedy|crime
